Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-07-21 14:43:34.645000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1500000,EUR,99.462,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,8ed0e4c8-7a60-43bf-8feb-4b6fad1e6400
2022-07-21 13:09:54.656000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,1200,EUR,98.656,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,2b12a13f-2d3f-433a-b264-840fca538745
2022-07-21 09:34:35.597000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,6150,EUR,98.863,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,fb2113f4-e827-4c11-b74e-ac618097f49d
2022-07-21 09:06:07.649000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,101274,EUR,98.852,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,c9236af8-ab23-403d-8d1c-fe8f54adc595
2022-07-21 07:24:38.056000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,712,EUR,98.964,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,93c65e1b-6e86-4b8e-a6c9-d37b50a00d05
2022-07-20 14:09:47.889000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,14977,EUR,99.385,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,a48cc78c-cb88-46de-bfd9-84fad1af221d
2022-07-20 10:18:30.812000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,19000,EUR,99.618,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,c041e6e0-3da7-448f-a7e5-ecce1a9e5bab
2022-07-20 09:11:12.672000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,73000,EUR,99.57,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,90eb05f7-0807-4a4f-82d9-93c28f0b5bcf
2022-07-19 14:30:16.738000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,5000,EUR,98.968,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,7c420bd4-1e5d-4966-a29f-a034a622ddba
2022-07-19 13:36:51.983000,FR0012993103,Corporate bond,DIRECTION GENERALE DU TRESOR,1.5,2031-05-25,14556,EUR,99.31,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,7a3fc1f2-7881-423a-8557-81f357695306
