Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-08-03 14:00:00.841838,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,5000000,EUR,98.27,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401428
2022-08-03 11:50:40.125641,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.27,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400906
2022-08-02 11:41:43.832732,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.74,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401438
2022-08-02 11:32:57.131749,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.74,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401405
2022-07-29 09:30:58.746719,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.425,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400708
2022-07-29 09:30:58.736395,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.43,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400707
2022-07-29 09:04:25.271221,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.395,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400597
2022-07-29 08:32:35.796177,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.42,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400410
2022-07-29 08:32:35.781973,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.42,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400409
2022-07-27 12:59:32.421861,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.23,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401322
2022-07-27 12:59:32.396345,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.235,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401321
2022-07-27 12:59:32.388183,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.235,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401320
2022-07-27 12:59:32.377443,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.235,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401319
2022-07-27 12:59:32.361570,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.24,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401318
2022-07-27 12:59:32.347982,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.24,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401317
2022-07-22 15:17:18.280754,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,98.11,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,402085
2022-07-21 14:44:30.157677,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,97.53,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,401758
2022-07-21 09:55:49.049866,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,97.5,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400796
2022-07-21 09:37:20.061827,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,97.475,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400711
2022-07-21 08:57:34.491288,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,97.485,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400480
2022-07-21 08:57:34.484434,FR0014007TY9,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2025-02-25,10000000,EUR,97.485,PERC,,FMTS,FMTS,MTS,1,D2D,MTF,DBFTFB,400479
