Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-08-01 15:00:35.033557,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,4000000,EUR,101.2401,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800391
2022-07-26 15:19:57.136635,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,148000,EUR,101.271,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800797
2022-07-19 06:45:00.000000,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,8000000,EUR,101.244,PERC,IDAF,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,
2022-07-13 11:03:00.845742,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,2000,EUR,101.293,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800492
2022-07-08 15:21:51.443107,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,101000,EUR,101.219,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800737
2022-06-30 15:16:41.361242,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,5000,EUR,101.286,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800638
2022-06-30 14:57:35.079294,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,500000,EUR,101.296,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800504
2022-06-28 15:15:06.195338,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,912000,EUR,101.222,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800380
2022-06-27 15:16:55.650803,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,892000,EUR,101.251,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800552
2022-06-22 13:53:38.593379,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,2200000,EUR,101.209,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800494
2022-06-15 10:37:52.704859,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,4000,EUR,101.139,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800384
2022-06-07 14:26:16.811213,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,1700000,EUR,101.471,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800455
2022-06-01 09:37:11.174190,FR0011486067,Corporate bond,DIRECTION GENERALE DU TRESOR,1.75,2023-05-25,300000,EUR,101.57,PERC,,SSOB,SSOB,BONDVISION,1,D2C,MTF,DBFTFB,800119
