Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-08-08 15:57:32.944000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,68000,EUR,88.712,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942597253
2022-08-08 10:35:53.890000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,24000,EUR,88.711,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605531723942594596
2022-08-05 15:13:38.031000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,756000,EUR,88.367,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407713937
2022-08-05 14:01:09.000000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,2071000,EUR,88.563,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407713029
2022-08-05 13:38:54.076000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,2697000,EUR,88.738,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407712745
2022-08-05 11:10:28.071000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,2490000,EUR,89.142,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407711751
2022-08-05 10:51:10.162000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,134000,EUR,89.173,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605528425407711484
2022-08-04 15:15:33.091000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,165000,EUR,89.394,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896087061
2022-08-04 15:15:13.639000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,12000,EUR,89.375,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896087009
2022-08-04 15:13:20.707000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,44000,EUR,89.383,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896086628
2022-08-04 10:22:51.335000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,200000,EUR,89.068,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896083792
2022-08-04 10:00:09.143000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,290000,EUR,89.091,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896083537
2022-08-04 09:58:06.380000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,1000,EUR,89.02,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896083466
2022-08-04 09:33:29.668000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,600000,EUR,88.911,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896082987
2022-08-04 09:22:28.261000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,129000,EUR,88.851,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896082873
2022-08-04 09:12:12.926000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,750000,EUR,88.789,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896082751
2022-08-04 08:15:41.418000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,,EUR,88.742,PERC,TPAC VOLO,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'7208411425838990311
2022-08-04 08:13:35.280000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,,EUR,88.742,PERC,TPAC VOLO,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'7208411425838990309
2022-08-04 07:57:51.142000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,300000,EUR,88.789,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605527325896081937
2022-08-03 15:22:18.954000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,1248000,EUR,88.69,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384460013
2022-08-03 15:15:11.400000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,500000,EUR,88.726,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384459881
2022-08-03 15:13:50.491000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,21000,EUR,88.675,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384459675
2022-08-03 14:55:05.572000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,,EUR,88.612,PERC,TPAC VOLO,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'7208408127304107129
2022-08-03 13:29:27.554000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,440000,EUR,88.709,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384458127
2022-08-03 12:49:05.244000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,2000000,EUR,88.631,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384457606
2022-08-03 12:46:22.774000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,538000,EUR,88.567,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384457567
2022-08-03 11:18:06.824000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,,EUR,88.699,PERC,TPAC VOLO,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'7208408127304106933
2022-08-03 11:05:37.125000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,24000,EUR,88.6,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384456644
2022-08-03 10:25:32.618000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,100000,EUR,88.448,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384456280
2022-08-03 10:07:47.351000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,,EUR,88.625,PERC,TPAC VOLO,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'7208408127304106907
2022-08-03 09:36:02.808000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,,EUR,88.74,PERC,TPAC VOLO,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'7208408127304106897
2022-08-03 09:18:57.550000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,,EUR,88.805,PERC,TPAC VOLO,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'7208408127304106895
2022-08-03 08:24:14.011000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,500000,EUR,88.731,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605526226384454776
2022-08-02 15:52:12.750000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,600000,EUR,89.165,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872832465
2022-08-02 15:13:13.312000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,346000,EUR,89.198,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872831941
2022-08-02 14:17:57.440000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,1200000,EUR,89.446,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872831133
2022-08-02 14:10:45.105000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,250000,EUR,89.416,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872831042
2022-08-02 12:00:03.924000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,1448000,EUR,89.9,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872829517
2022-08-02 11:08:57.352000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,20000,EUR,89.796,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872829201
2022-08-02 10:12:19.205000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,100000,EUR,89.994,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872828818
2022-08-02 09:43:51.705000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,223000,EUR,89.978,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872828244
2022-08-02 08:49:28.905000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,1300000,EUR,89.991,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872827407
2022-08-02 08:24:27.879000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,2000000,EUR,90.028,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872827104
2022-08-02 08:20:36.396000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,300000,EUR,90.059,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872827063
2022-08-02 08:06:25.320000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,50000,EUR,90.202,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872826882
2022-08-02 07:44:30.928000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,1240,EUR,90.327,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605525126872826575
2022-08-02 05:03:32.000000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,60500000,EUR,88.927421,PERC,IDAF,TWEM,TWEM,TRADEWEB,4,D2C,MTF,DBFTFB,'7208404828769223312
2022-08-01 15:24:14.611000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,1810000,EUR,89.571,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361203223
2022-08-01 15:15:15.908000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,11000,EUR,89.617,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361203019
2022-08-01 15:13:11.483000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,151000,EUR,89.515,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361202803
2022-08-01 13:19:01.636000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,200000,EUR,89.412,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361201651
2022-08-01 09:59:28.937000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,14000,EUR,89.088,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361199862
2022-08-01 09:50:34.718000,FR0014002WK3,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2031-11-25,100000,EUR,88.972,PERC,,TWEM,TWEM,TRADEWEB,1,D2C,MTF,DBFTFB,'3605524027361199753
