Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
51:23.9,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,45429,EUR,86.741,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,c947d39b-d10c-416d-8ddf-c5ee763496ce
16:01.2,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1747715,EUR,86.811,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,bdfd09c5-ceac-4757-b629-dd7160e4b209
49:37.7,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,2000000,EUR,86.683,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,d7f27b43-c515-43ec-844e-164f97faa459
24:44.2,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1000000,EUR,86.333,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,1f8d2e07-868b-4209-a55a-4a088f5967c4
21:40.9,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1000000,EUR,86.305,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,74e9abcc-91ec-4ffb-911e-9c7df62495f6
17:06.6,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1200000,EUR,86.64,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,3d548af3-38cd-4457-a120-ea4d03a9072a
02:04.4,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1200000,EUR,86.376,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,3c62a5f7-784b-4d7d-bc34-bc813feaecc2
32:54.9,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,2000000,EUR,86.657,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,1ede4c36-81cd-471c-b15a-e62a9e9b8c6f
22:46.5,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,2000000,EUR,86.848,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,c7baa424-4567-40f0-8765-e4d0b48d2855
43:53.7,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,2000000,EUR,86.541,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,6fc97b26-f0c7-44b9-b893-f3e3f52ddd74
43:41.7,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,2000000,EUR,86.552,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,6155ed80-4595-4f7a-b942-5ea28e054675
18:40.5,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,2500000,EUR,86.465,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,72b7f108-53b0-4a82-b9ab-155a804524a7
18:09.3,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,2500000,EUR,86.482,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,6d23e235-bc01-4159-9b71-c2cd844805e4
08:45.0,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1000000,EUR,86.509,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,2d27a4cb-4b9e-4232-b818-60c14e1ae142
51:42.4,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1000000,EUR,86.343,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,5118281e-114f-422e-912d-d48ef16341ae
19:44.2,BE0000354630,Corporate bond,The Kingdom of Belgium,0.35,2032-6-22,1000000,EUR,86.502,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFN,000207e8-917f-4d15-bc75-1a32e7ab9f6a
