Historical Rts2 Post Trade Microsecond,Historical Rts2 Instrument Identification Code,Bond Type Bond Type Desc,Instruments New Issuer Name,Instruments New Bond Fixed Rate,Instruments New Bond Maturity Date,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Price,Historical Rts2 Price Notation,Historical Rts2 Flag List,Historical Rts2 Venue of Execution,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Transaction Count,Mifid Entities Platform Type,Mifid Entities Trading Venue Types,Instruments New Cfi,Historical Rts2 Transaction Identification Code
2022-07-20 15:42:23.168000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,300000,EUR,84.33,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,01d7fe51-13ca-47df-a7ed-66a156bbb4b6
2022-07-20 10:59:22.410000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1000000,EUR,84.797,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,de5f7ed2-8f7d-4d04-b0f7-d6f296a64c0c
2022-07-20 10:53:59.215000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,25870,EUR,84.848,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,dafb6704-e55b-4331-9c0e-325d80292ad5
2022-07-20 10:03:19.058000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1000000,EUR,84.706,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,975c9075-3fc0-4e1c-b967-c0237b431787
2022-07-20 09:10:58.684000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,200000,EUR,84.642,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,5b92ad1e-e65d-43cd-abf7-9442bf85452b
2022-07-19 15:16:29.933000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,500000,EUR,84.277,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,dddc6a06-afef-47b7-b0bd-f6affdc0cc13
2022-07-19 14:29:16.659000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,6000,EUR,83.998,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,3ae244ed-61a4-4e5e-8a84-5ffd7c46cccd
2022-07-19 11:58:01.380000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,5000,EUR,84.468,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,92a6102c-f28e-4c21-8626-b978ecb17313
2022-07-19 11:27:17.393000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,220000,EUR,84.486,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,cd09286c-4410-4fdb-9cec-57c945a94734
2022-07-19 09:17:49.697000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.495,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,ba705108-62cc-41ba-a4ff-c2e39f2148aa
2022-07-19 09:16:43.886000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.502,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,00ef5247-ec77-48d8-9f2f-7867620c93a3
2022-07-19 09:12:07.500000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.469,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,1f212cb8-971f-4fbf-9ad9-7ecc9cb8faa4
2022-07-19 09:10:55.780000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.416,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,eda5b94c-abed-4046-afd9-da8825661a75
2022-07-19 08:40:35.292000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,700000,EUR,84.416,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,262a45d4-bfac-4921-8908-a243bc38a8f5
2022-07-19 08:33:01.167000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,500000,EUR,84.317,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,be8c98b9-750f-4b3f-ae46-944bc927e559
2022-07-19 08:21:45.626000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,800000,EUR,84.135,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,73519535-4efb-4b0c-979a-a94b3e6f8363
2022-07-19 07:59:16.136000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.267,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,a922d5d1-9a7a-4047-83d0-fa7f947bf1df
2022-07-19 07:59:00.600000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.261,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,9940187d-7bd5-4a00-bf1e-1bab16d947fb
2022-07-19 06:45:35.045357,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,181376000,EUR,84.756778,PERC,IDAF SIZE,BTFE,BTFE,BLOOMBERG,13,D2C,MTF,DBFTFB,
2022-07-18 15:32:16.689000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1000000,EUR,84.506,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,85499d77-9c4b-4e95-a423-dfeed85f1a1e
2022-07-18 15:14:53.981000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,310000,EUR,84.485,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,ef2006f5-40e6-47c5-ab77-c739e4a5871d
2022-07-18 13:12:27.048000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1800000,EUR,84.471,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,fabb9681-a7dd-4469-8dba-03586f56e4ec
2022-07-18 13:11:54.637000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1800000,EUR,84.456,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,a46c9dfa-4584-4b1b-985e-6ed49a191267
2022-07-18 11:21:15.036000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1000000,EUR,84.393,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,1195312f-d036-4f6c-9851-6baee0785f33
2022-07-18 10:57:30.318000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1200000,EUR,84.35,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,d131835a-81c3-4d1d-9567-5125ce72509f
2022-07-18 10:22:45.515000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1200000,EUR,84.221,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,61fb0130-0e41-4d3c-a497-1b5dbc180b98
2022-07-18 09:57:40.993000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.182,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,1a045760-afa9-4205-a879-09468b35dfdb
2022-07-18 09:49:35.158000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.163,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,4bcf1b96-901c-49ac-a3dc-8f417e5a6a55
2022-07-18 09:45:21.146000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,8000,EUR,84.245,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,4d7819d2-a2bd-441f-9d63-ce41cc466b5b
2022-07-18 09:39:09.226000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.34,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,039ca6e6-1189-4073-94b1-ee06b47f1a34
2022-07-18 09:37:34.775000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.358,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,36c03f91-141f-4600-adc4-cc81d52a5639
2022-07-18 09:22:12.077000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,1000000,EUR,84.273,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,86bd192b-6764-465e-93a5-2878fcf4efcd
2022-07-15 13:26:58.359000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,300000,EUR,84.784,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,832e5af3-9103-4bc0-892a-8b174d1055ce
2022-07-15 13:23:37.136000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,16000,EUR,84.672,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,08cd5298-43cb-425d-8cc3-2b304b4e5fa0
2022-07-15 12:15:58.243000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,14717,EUR,84.896,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,f62a9229-391f-4f01-a4d2-8d48e639ddc4
2022-07-15 12:09:06.658000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,590000,EUR,84.855,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,13791efb-9792-4b46-addc-5d57a7c5dd98
2022-07-15 12:03:21.208000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.842,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,384b4c4c-c68d-43df-8c72-bbc35ae04921
2022-07-15 12:02:14.509000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,2000000,EUR,84.847,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,08ec4dde-c060-4c0a-a758-ba2203abee19
2022-07-15 11:36:35.406000,FR0014007L00,Corporate bond,DIRECTION GENERALE DU TRESOR,0,2032-05-25,300000,EUR,84.793,PERC,,BTFE,BTFE,BLOOMBERG,1,D2C,MTF,DBFTFB,76a94526-e3f5-406f-a1f7-4b7a11ae7267
