Historical Rts2 Publication Microsecond,Historical Rts2 Trading Microsecond,Historical Rts2 Instrument Identification Code,Instruments New Instrument Full Name,Historical Rts2 Transaction Identification Code,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Price Notation,Historical Rts2 Price,Historical Rts2 Price Currency,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Flag List,Historical Rts2 Count Event
2022-02-25 20:26:56.167374,2021-02-26 08:23:39.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2202252026560486796,TRAX,TRAX,PERC,96.404,USD,5000000,USD,ILQD LRGS,1
2022-02-25 20:26:56.447328,2021-02-26 11:52:21.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2202252026560316252,TRAX,TRAX,PERC,96.211,USD,5000000,USD,ILQD LRGS,1
2022-03-04 14:08:25.905150,2021-03-02 14:09:57.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2104060727180430006,TRAX,TRAX,PERC,96.948202,,65000000,USD,CANC LRGS,1
2022-02-25 19:56:08.931444,2021-03-09 09:49:24.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2104130849160354610,TRAX,TRAX,PERC,96.235,,25420000,USD,CANC FULJ LRGS,1
2022-02-25 23:42:47.798946,2021-03-09 09:52:03.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2202252342470411851,TRAX,TRAX,PERC,96.235,USD,25420000,USD,ILQD LRGS,1
2022-02-25 23:45:32.583017,2021-03-09 09:52:03.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2202252342470411851,TRAX,TRAX,PERC,96.235,USD,25420000,USD,CANC ILQD LRGS,1
2022-02-25 23:45:32.583207,2021-03-09 09:52:03.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2202252342470411851,TRAX,TRAX,PERC,96.235,USD,25420000,USD,AMND ILQD LRGS,1
2022-02-08 06:03:49.000000,2022-01-04 16:19:03.508000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208212414234365123,TWEM,TRADEWEB,PERC,96.073,USD,10000,USD,FULJ ILQD,1
2022-02-08 06:33:55.000000,2022-01-07 16:06:58.386000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208212414234600006,TREA,TRADEWEB APA,PERC,95.21,USD,8000000,USD,FULJ ILQD SIZE,1
2022-02-15 06:32:38.000000,2022-01-10 08:51:31.643000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208220110815788861,TREA,TRADEWEB APA,PERC,95.13,USD,8000000,USD,FULJ ILQD SIZE,1
